id	binary_label	multiclass_label	ner_label
1623029859541782528	0	Bilgi Paylaşımı	[]
1622978903517155328	0	Bağış ve Gönüllülük	[]
1623050005178388480	0	Konu Dışı	[]
1624537370623152128	0	Konu Dışı	[]
1623000831837581312	0	Yardım Çağrısı	[[206, 211, 'il'], [185, 190, 'il'], [72, 77, 'il'], [211, 219, 'ilçe'], [78, 86, 'ilçe'], [236, 247, 'kişi'], [249, 260, 'kişi']]
1622806624711712768	0	Bilgi Paylaşımı	[]
1624097891336826880	0	Bilgi Paylaşımı	[]
1624364381805981696	0	İhtiyaç	[[43, 54, 'kişi'], [121, 127, 'ihtiyaç']]
1624570410745339904	1	Yardım Çağrısı	[[158, 166, 'il'], [118, 130, 'mahalle veya köy'], [102, 117, 'bulvar veya cadde veya sokak'], [137, 152, 'apartman veya bina veya site'], [153, 157, 'no'], [205, 217, 'kişi'], [221, 232, 'kişi'], [0, 12, 'kişi'], [87, 100, 'kişi durumu']]
1624762743910805504	0	Bilgi Paylaşımı	[]
1623016360178483200	0	Bilgi Paylaşımı	[]
1622726161196322816	0	Bilgi Paylaşımı	[]
1622763094609956864	0	Bağış ve Gönüllülük	[]
1624527981174525952	0	Bilgi Paylaşımı	[]
1622936708663676928	0	Bağış ve Gönüllülük	[]
1623034549205667840	0	Bilgi Paylaşımı	[]
1622718068249006080	0	Yardım Çağrısı	[[29, 34, 'il'], [35, 43, 'ilçe'], [73, 81, 'kişi'], [9, 16, 'kişi'], [82, 95, 'kişi durumu']]
1622551944035241984	1	Yardım Çağrısı	[[35, 43, 'il'], [44, 50, 'ilçe'], [0, 17, 'mahalle veya köy'], [18, 34, 'apartman veya bina veya site'], [72, 78, 'ihtiyaç'], [56, 62, 'ihtiyaç']]
1623434400124833792	0	İhtiyaç	[[167, 175, 'il'], [109, 117, 'il'], [118, 139, 'mahalle veya köy'], [140, 150, 'bulvar veya cadde veya sokak'], [151, 165, 'kişi'], [73, 80, 'ihtiyaç'], [69, 71, 'ihtiyaç'], [82, 89, 'ihtiyaç']]
1623594813588180992	0	İhtiyaç	[[0, 5, 'il'], [6, 13, 'ilçe'], [14, 26, 'mahalle veya köy'], [46, 59, 'ihtiyaç'], [60, 65, 'ihtiyaç'], [40, 45, 'ihtiyaç']]
1622954823963365376	1	Yardım Çağrısı	[[24, 31, 'il'], [32, 57, 'mahalle veya köy'], [92, 103, 'ihtiyaç']]
1622466853707698176	0	Konu Dışı	[]
1622764829806153728	0	İhtiyaç	[[237, 242, 'il'], [258, 263, 'il'], [229, 234, 'il'], [74, 86, 'kişi durumu'], [16, 26, 'ihtiyaç'], [28, 36, 'ihtiyaç'], [8, 13, 'ihtiyaç'], [0, 5, 'ihtiyaç'], [38, 40, 'ihtiyaç'], [42, 49, 'ihtiyaç']]
1622837393064660992	0	İhtiyaç	[[19, 26, 'il'], [50, 57, 'ihtiyaç'], [40, 45, 'ihtiyaç']]
1623049119177773056	0	Bilgi Paylaşımı	[]
1622703430199398400	0	Bilgi Paylaşımı	[]
1623456193338544128	0	Bağış ve Gönüllülük	[]
1624295591365824512	0	Bilgi Paylaşımı	[]
1623867950569607168	0	Konu Dışı	[]
1623063707940179968	0	Bilgi Paylaşımı	[]
1623060311447343104	0	Bilgi Paylaşımı	[]
1624525701193043968	0	Bilgi Paylaşımı	[]
1622834951145066496	1	Yardım Çağrısı	[[143, 154, 'mahalle veya köy'], [157, 170, 'bulvar veya cadde veya sokak'], [183, 190, 'no'], [173, 180, 'no'], [129, 141, 'kişi']]
1623508159951151104	0	Bilgi Paylaşımı	[]
1624836816590217216	0	Konu Dışı	[]
1624741973943787520	0	Konu Dışı	[]
1622822978965880832	0	Bilgi Paylaşımı	[]
1623753563737317376	0	Konu Dışı	[]
1622770520939716608	0	Yardım Çağrısı	[[53, 58, 'il']]
1622791365930147840	0	Yardım Çağrısı	[]
1624480025729720320	0	İhtiyaç	[[0, 9, 'il'], [21, 29, 'kişi'], [73, 79, 'ihtiyaç'], [35, 41, 'ihtiyaç']]
1623288608785326080	0	İhtiyaç	[[172, 177, 'il'], [189, 205, 'apartman veya bina veya site'], [0, 13, 'ihtiyaç'], [16, 25, 'ihtiyaç']]
1623920764343975936	0	Bağış ve Gönüllülük	[]
